factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f629,43,15,2.4125
f633,43,15,2.7625
f653,43,16,6.2375
f6769,43,23,5.6375
f6789,43,21,1.775
f6799,43,21,3.6
f681,43,21,2.4875
f68100,43,16,3.65
f697,43,16,1.725
f75100,43,25,2.825
f8399,43,15,1.325
f920,43,19,3.3125
f932,43,26,2.075
f936,43,18,3.725
f937,43,25,3.3
f1044,42,20,1.5
f1083,42,13,4.8125
f1384,42,20,3.2
f1654,42,19,2.2125
f1944,42,20,1.35
f1975,42,26,1.8125
f2339,42,26,3.2125
f2640,42,27,2.1375
f269,42,27,3.5125
f2837,42,24,2.35
f291,42,18,0.9625
f2940,42,24,2.0
f2941,42,17,3.9375
f321,42,12,4.05
f3490,42,19,5.15
f384,42,16,5.9875
f3968,42,18,4.15
f4047,42,21,2.5125
f4060,42,21,1.0125
f4089,42,24,2.5
f4161,42,17,2.4375
f4180,42,17,4.0625
f4349,42,14,2.7875
f449,42,16,0.625
f4490,42,23,2.225
f4568,42,14,3.3125
f4996,42,12,4.075
f584,42,26,3.15
f5880,42,19,5.35
f613,42,16,3.7125
f6475,42,26,3.8125
f6484,42,20,1.2
f6880,42,14,3.7375
f6893,42,14,3.7
f693,42,15,4.5
f696,42,15,1.9875
f7592,42,26,4.6125
f775,42,22,0.5625
f8084,42,20,2.3
f8292,42,14,4.15
f8495,42,20,2.2
f892,42,18,6.15
f1479,41,28,1.7625
f1646,41,17,2.2625
f1866,41,17,2.2375
f1875,41,22,3.55
f1957,41,21,5.2875
f2184,41,20,2.65
f2188,41,17,1.6
f2240,41,24,1.6875
f2282,41,13,4.35
f243,41,21,2.95
f2472,41,25,2.7375
f2540,41,22,2.1375
f278,41,19,2.325
f2848,41,22,6.425
f2875,41,23,6.875
f315,41,12,3.0625
f3248,41,27,3.75
f3269,41,23,4.0125
f3460,41,14,2.525
f3549,41,13,3.05
f3779,41,25,5.0125
f4096,41,24,3.9625
f4964,41,13,2.825
f4974,41,15,2.55
f4999,41,13,2.05
f5966,41,16,4.55
f660,41,16,3.8125
f7084,41,20,1.85
f77100,41,24,6.8
f963,41,20,0.6375
f1858,40,18,1.8125
f2053,40,20,2.125
f2158,40,18,4.2875
f2348,40,28,3.775
f2465,40,16,1.75
