period,freeze,final_commit,cost_x,cost_y,cost2_half,flip,edges_class0,cost_class0,edges_class1,cost_class1,edges_class2,cost_class2,x_is_br_of_y,y_is_br_of_x,single_moves_x,single_moves_y,greedy_from_x,cost_greedy_class2,t_commit99,br_steps,cost2_increases,family,density,seed,alg,edges
1,16,0.6408450704225352,7758.267606971559,7758.267606971559,7758.267606971559,0.0,1.0,109.26760563380282,0.0,,0.0,,1.0,1.0,0,0,7758.267606971559,,1000,,-1,random,0.05,13,DMS_split,71
2,1000,0.5514705882352942,8570.274839928285,8676.265241022247,7501.270040475266,0.48,0.3382352941176471,106.52173913043478,0.25,113.23529411764706,0.4117647058823529,149.82142857142858,1.0,1.0,24,24,7604.276265985283,114.17857142857144,1000,,-1,random,0.05,14,MS_split,68
1,58,0.5294117647058824,7516.250154697496,7516.250154697496,7516.250154697496,0.0,1.0,110.52941176470588,0.0,,0.0,,1.0,1.0,0,0,7516.250154697496,,1000,,-1,random,0.05,14,DMS_split,68
2,1000,0.4609375,8180.25754821872,8433.222705326136,6951.740126772428,0.54,0.296875,104.84210526315788,0.28125,112.94444444444444,0.421875,153.88888888888889,1.0,1.0,27,27,6979.225788540172,111.33333333333331,1000,,-1,random,0.05,15,MS_split,64
1,61,0.4765625,6924.248290524706,6924.248290524706,6924.248290524706,0.0,1.0,108.1875,0.0,,0.0,,1.0,1.0,0,0,6924.248290524706,,1000,,-1,random,0.05,15,DMS_split,64
2,1000,0.4924242424242424,8302.26130233748,7885.286449089583,7265.773875713531,0.34,0.4848484848484848,108.3125,0.2424242424242424,116.6875,0.2727272727272727,164.94444444444446,1.0,1.0,17,17,7371.270741990513,115.72222222222224,1000,,-1,random,0.05,16,MS_split,66
1,18,0.4696969696969697,7288.273708522841,7288.273708522841,7288.273708522841,0.0,1.0,110.42424242424242,0.0,,0.0,,1.0,1.0,0,0,7288.273708522841,,1000,,-1,random,0.05,16,DMS_split,66
2,1000,0.4666666666666667,6730.244709097634,6647.261016089171,6521.752862593403,0.14,0.8166666666666667,107.36734693877553,0.1,121.33333333333331,0.0833333333333333,148.2,1.0,1.0,7,7,6518.249731072377,105.0,1000,,-1,random,0.05,17,MS_split,60
1,204,0.5666666666666667,6551.241881953796,6551.241881953796,6551.241881953796,0.0,1.0,109.18333333333334,0.0,,0.0,,1.0,1.0,0,0,6551.241881953796,,1000,,-1,random,0.05,17,DMS_split,60
2,1000,0.5161290322580645,7629.256809166924,7641.265588213075,6741.761198689999,0.36,0.5483870967741935,106.76470588235294,0.1612903225806451,115.1,0.2903225806451613,158.22222222222223,1.0,1.0,18,18,6825.251488861106,113.11111111111111,1000,,-1,random,0.05,18,MS_split,62
