bench,seed,p,freeze,t95,final_commit,final,best,period
random_sparse,7,0.55,443,2000,0.8097014925373134,15954.257848154835,15954.257848154835,1
random_sparse,7,0.6,427,2000,0.8059701492537313,15954.257848154835,15954.257848154835,1
random_sparse,7,0.7,339,2000,0.7835820895522388,15954.257848154835,15954.257848154835,1
random_sparse,7,0.8,181,2000,0.7332089552238806,15865.268892478975,15865.268892478975,1
random_sparse,7,0.9,103,2000,0.7014925373134329,15772.268154300082,15772.268154300082,1
random_sparse,7,0.95,1995,2000,0.6324626865671642,15792.266639564881,15779.267016607237,0
random_sparse,7,0.99,2000,2000,0.48880597014925375,16851.275748525295,15774.26509666857,0
random_sparse,7,1.0,2000,2000,0.022388059701492536,16700.26445291869,15753.230944815354,0
random_sparse,8,0.5,266,2000,0.7169811320754716,12311.240926851115,12311.240926851115,1
random_sparse,8,0.55,194,2000,0.7216981132075472,12311.240926851115,12311.240926851115,1
random_sparse,8,0.6,157,2000,0.7075471698113207,12311.240926851115,12311.240926851115,1
random_sparse,8,0.7,103,2000,0.6816037735849056,12311.240926851115,12311.240926851115,1
random_sparse,8,0.8,68,2000,0.6367924528301887,12311.240926851115,12311.240926851115,1
random_sparse,8,0.9,85,2000,0.5919811320754716,12289.215609517058,12289.215609517058,1
random_sparse,8,0.95,694,2000,0.5495283018867925,12312.22863413916,12278.22426853252,1
random_sparse,8,0.99,94,2000,0.5801886792452831,12221.21406714136,12221.21406714136,1
random_sparse,8,1.0,2000,2000,0.0047169811320754715,13116.257327452382,12221.21406714136,0
random_sparse,9,0.5,33,2000,0.8145695364238411,18152.23472265698,18152.23472265698,1
random_sparse,9,0.55,33,2000,0.8195364238410596,18152.23472265698,18152.23472265698,1
random_sparse,9,0.6,32,2000,0.8079470198675497,18152.23472265698,18152.23472265698,1
random_sparse,9,0.7,76,2000,0.8327814569536424,18109.232456877748,18109.232456877748,1
random_sparse,9,0.8,78,2000,0.804635761589404,18109.232456877748,18109.232456877748,1
random_sparse,9,0.9,116,2000,0.7400662251655629,18109.232456877748,18109.232456877748,1
random_sparse,9,0.95,78,2000,0.7450331125827815,18048.226311073366,18048.226311073366,1
random_sparse,9,0.99,2000,2000,0.5298013245033113,18790.280981728425,17950.2722695874,0
random_sparse,9,1.0,2000,2000,0.013245033112582781,20253.243111223248,17950.2722695874,0
random_sparse,10,0.5,583,2000,0.75390625,15069.24042141706,15069.24042141706,1
random_sparse,10,0.55,580,2000,0.7421875,15069.24042141706,15069.24042141706,1
random_sparse,10,0.6,533,2000,0.740234375,15069.24042141706,15069.24042141706,1
random_sparse,10,0.7,422,2000,0.75390625,15069.24042141706,15069.24042141706,1
random_sparse,10,0.8,71,2000,0.72265625,15034.229866466583,15034.229866466583,1
random_sparse,10,0.9,81,2000,0.6640625,14999.239031114746,14999.239031114746,1
random_sparse,10,0.95,61,2000,0.62109375,14981.2316139247,14981.2316139247,1
random_sparse,10,0.99,1560,2000,0.6484375,14983.232593998826,14951.234244248693,1
random_sparse,10,1.0,2000,2000,0.0390625,16032.217612050013,14973.216464015593,0
random_sparse,11,0.5,27,2000,0.7298387096774194,14460.260960860855,14460.260960860855,1
random_sparse,11,0.55,27,2000,0.7278225806451613,14460.260960860855,14460.260960860855,1
random_sparse,11,0.6,27,2000,0.7278225806451613,14460.260960860855,14460.260960860855,1
random_sparse,11,0.7,27,2000,0.7016129032258065,14460.260960860855,14460.260960860855,1
random_sparse,11,0.8,36,2000,0.6693548387096774,14460.260960860855,14460.260960860855,1
random_sparse,11,0.9,96,2000,0.6875,14425.243455978762,14425.243455978762,1
random_sparse,11,0.95,91,2000,0.6814516129032258,14302.23481790239,14302.23481790239,1
random_sparse,11,0.99,97,2000,0.655241935483871,14302.23481790239,14302.23481790239,1
random_sparse,11,1.0,1999,2000,0.1935483870967742,14364.224397390133,14302.23481790239,0
random_sparse,12,0.5,30,2000,0.7407407407407407,12607.258589866411,12607.258589866411,1
random_sparse,12,0.55,30,2000,0.7615740740740741,12607.258589866411,12607.258589866411,1
random_sparse,12,0.6,31,2000,0.7453703703703703,12607.258589866411,12607.258589866411,1
random_sparse,12,0.7,37,2000,0.7407407407407407,12607.258589866411,12607.258589866411,1
random_sparse,12,0.8,58,2000,0.7083333333333334,12607.258589866411,12607.258589866411,1
random_sparse,12,0.9,193,2000,0.5879629629629629,12510.278038584804,12510.278038584804,1
random_sparse,12,0.95,192,2000,0.6458333333333334,12436.230569222525,12436.230569222525,1
random_sparse,12,0.99,444,2000,0.5972222222222222,12422.244433377842,12422.244433377842,1
random_sparse,12,1.0,953,2000,0.14351851851851852,12422.244433377842,12422.244433377842,1
random_sparse,13,0.5,25,2000,0.7777777777777778,13792.256528198006,13792.256528198006,1
random_sparse,13,0.55,26,2000,0.7777777777777778,13792.256528198006,13792.256528198006,1
random_sparse,13,0.6,27,2000,0.7606837606837606,13792.256528198006,13792.256528198006,1
random_sparse,13,0.7,21,2000,0.7435897435897436,13792.256528198006,13792.256528198006,1
random_sparse,13,0.8,27,2000,0.7008547008547008,13792.256528198006,13792.256528198006,1
random_sparse,13,0.9,39,2000,0.5918803418803419,13792.256528198006,13792.256528198006,1
random_sparse,13,0.95,109,2000,0.6602564102564102,13492.263962636647,13492.263962636647,1
